date,time,open,high,low,close,volume
2022.12.08,09:15,1.05116,1.05206,1.05097,1.05200,911
2022.12.08,09:30,1.05200,1.05310,1.05197,1.05268,888
2022.12.08,09:45,1.05269,1.05283,1.05207,1.05260,1245
2022.12.08,10:00,1.05259,1.05259,1.05153,1.05214,1782
2022.12.08,10:15,1.05216,1.05252,1.05129,1.05198,1246
2022.12.08,10:30,1.05199,1.05210,1.05124,1.05174,1375
2022.12.08,10:45,1.05175,1.05273,1.05130,1.05266,1345
2022.12.08,11:00,1.05265,1.05268,1.05139,1.05191,1023
2022.12.08,11:15,1.05191,1.05191,1.05034,1.05061,1074
2022.12.08,11:30,1.05060,1.05085,1.04897,1.04955,1194
2022.12.08,11:45,1.04956,1.04984,1.04897,1.04946,980
2022.12.08,12:00,1.04946,1.04985,1.04930,1.04957,980
2022.12.08,12:15,1.04958,1.04967,1.04908,1.04949,1041
2022.12.08,12:30,1.04948,1.05043,1.04908,1.05039,1416
2022.12.08,12:45,1.05040,1.05137,1.04973,1.05131,1065
2022.12.08,13:00,1.05131,1.05141,1.05053,1.05080,948
2022.12.08,13:15,1.05081,1.05082,1.04925,1.05022,900
2022.12.08,13:30,1.05021,1.05094,1.05011,1.05048,638
2022.12.08,13:45,1.05047,1.05129,1.05023,1.05082,874
2022.12.08,14:00,1.05081,1.05183,1.05063,1.05137,1015
2022.12.08,14:15,1.05138,1.05214,1.05119,1.05187,1167
2022.12.08,14:30,1.05188,1.05241,1.05143,1.05206,1215
2022.12.08,14:45,1.05208,1.05243,1.05144,1.05188,1211
2022.12.08,15:00,1.05187,1.05236,1.05144,1.05193,1482
2022.12.08,15:15,1.05195,1.05234,1.05160,1.05202,1293
2022.12.08,15:30,1.05201,1.05319,1.05112,1.05140,2484
2022.12.08,15:45,1.05141,1.05224,1.05109,1.05204,2128
2022.12.08,16:00,1.05204,1.05339,1.05184,1.05217,2163
2022.12.08,16:15,1.05218,1.05297,1.05193,1.05287,2033
2022.12.08,16:30,1.05286,1.05331,1.05172,1.05247,2909
2022.12.08,16:45,1.05248,1.05401,1.05222,1.05389,2486
2022.12.08,17:00,1.05389,1.05437,1.05351,1.05373,1803
2022.12.08,17:15,1.05373,1.05451,1.05357,1.05441,1510
2022.12.08,17:30,1.05442,1.05491,1.05389,1.05443,1430
2022.12.08,17:45,1.05445,1.05471,1.05367,1.05453,2063
2022.12.08,18:00,1.05451,1.05471,1.05343,1.05419,1662
2022.12.08,18:15,1.05421,1.05480,1.05353,1.05466,1436
2022.12.08,18:30,1.05465,1.05649,1.05465,1.05541,1355
2022.12.08,18:45,1.05538,1.05555,1.05503,1.05514,828
2022.12.08,19:00,1.05513,1.05554,1.05459,1.05534,979
2022.12.08,19:15,1.05533,1.05563,1.05437,1.05459,1100
2022.12.08,19:30,1.05457,1.05490,1.05412,1.05430,900
2022.12.08,19:45,1.05432,1.05468,1.05393,1.05442,839
2022.12.08,20:00,1.05440,1.05473,1.05406,1.05410,839
2022.12.08,20:15,1.05411,1.05520,1.05385,1.05506,750
2022.12.08,20:30,1.05505,1.05591,1.05505,1.05582,924
2022.12.08,20:45,1.05580,1.05618,1.05541,1.05579,848
2022.12.08,21:00,1.05578,1.05593,1.05454,1.05474,1156
2022.12.08,21:15,1.05474,1.05542,1.05466,1.05535,893
2022.12.08,21:30,1.05534,1.05605,1.05497,1.05560,1005
2022.12.08,21:45,1.05561,1.05635,1.05558,1.05602,946
2022.12.08,22:00,1.05600,1.05609,1.05549,1.05593,695
2022.12.08,22:15,1.05598,1.05604,1.05569,1.05596,484
2022.12.08,22:30,1.05594,1.05604,1.05547,1.05598,764
2022.12.08,22:45,1.05599,1.05599,1.05531,1.05557,820
2022.12.08,23:00,1.05556,1.05589,1.05553,1.05566,315
2022.12.08,23:15,1.05566,1.05574,1.05556,1.05563,306
2022.12.08,23:30,1.05563,1.05570,1.05556,1.05557,220
2022.12.08,23:45,1.05558,1.05565,1.05551,1.05564,111
2022.12.09,00:00,1.05556,1.05556,1.05523,1.05524,20
2022.12.09,00:15,1.05525,1.05539,1.05521,1.05539,29
2022.12.09,00:30,1.05539,1.05565,1.05535,1.05562,932
2022.12.09,00:45,1.05563,1.05577,1.05554,1.05559,1568
2022.12.09,01:00,1.05558,1.05634,1.05550,1.05622,349
2022.12.09,01:15,1.05623,1.05629,1.05551,1.05568,933
2022.12.09,01:30,1.05567,1.05574,1.05548,1.05568,449
2022.12.09,01:45,1.05569,1.05573,1.05556,1.05557,334
2022.12.09,02:00,1.05556,1.05585,1.05549,1.05550,406
2022.12.09,02:15,1.05551,1.05566,1.05531,1.05538,329
2022.12.09,02:30,1.05537,1.05550,1.05521,1.05529,337
2022.12.09,02:45,1.05529,1.05602,1.05519,1.05601,418
2022.12.09,03:00,1.05600,1.05820,1.05596,1.05811,1261
2022.12.09,03:15,1.05813,1.05846,1.05754,1.05827,1029
2022.12.09,03:30,1.05828,1.05854,1.05773,1.05780,1083
2022.12.09,03:45,1.05780,1.05814,1.05734,1.05790,1020
2022.12.09,04:00,1.05791,1.05808,1.05675,1.05690,1218
2022.12.09,04:15,1.05690,1.05706,1.05669,1.05683,958
2022.12.09,04:30,1.05682,1.05733,1.05662,1.05697,884
2022.12.09,04:45,1.05699,1.05743,1.05683,1.05742,975
2022.12.09,05:00,1.05741,1.05824,1.05737,1.05805,1160
2022.12.09,05:15,1.05805,1.05824,1.05785,1.05814,720
2022.12.09,05:30,1.05813,1.05826,1.05767,1.05811,487
2022.12.09,05:45,1.05811,1.05842,1.05783,1.05806,560
2022.12.09,06:00,1.05806,1.05826,1.05786,1.05794,551
2022.12.09,06:15,1.05795,1.05822,1.05775,1.05815,503
2022.12.09,06:30,1.05814,1.05824,1.05774,1.05779,391
2022.12.09,06:45,1.05780,1.05798,1.05759,1.05762,347
2022.12.09,07:00,1.05761,1.05800,1.05746,1.05794,550
2022.12.09,07:15,1.05797,1.05866,1.05778,1.05799,819
2022.12.09,07:30,1.05798,1.05825,1.05783,1.05792,510
2022.12.09,07:45,1.05792,1.05805,1.05751,1.05769,518
2022.12.09,08:00,1.05770,1.05786,1.05731,1.05731,829
2022.12.09,08:15,1.05732,1.05771,1.05720,1.05725,631
2022.12.09,08:30,1.05724,1.05771,1.05711,1.05739,815
2022.12.09,08:45,1.05741,1.05768,1.05709,1.05759,631
2022.12.09,09:00,1.05758,1.05881,1.05758,1.05783,1434
2022.12.09,09:15,1.05783,1.05783,1.05690,1.05729,1036
